Years,Term,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2019,Summer,MATH,231,0,4,2,1,6,1,0,4,0,0,1,1,5,1,"Carpenter, Bruce"
2019,Summer,MATH,415,0,8,6,2,7,4,0,4,2,0,0,1,2,1,"Carpenter, Bruce"
2019,Summer,PSYC,100,1,25,10,10,26,2,3,6,0,2,2,0,9,1,"Shenouda, Christine K"
2019,Summer,PSYC,201,7,6,9,5,6,4,3,1,1,1,2,2,9,1,"Shenouda, Christine K"
2019,Summer,PSYC,204,11,22,9,4,8,4,0,4,0,2,1,0,1,0,"Dolcos, Sanda M"
2019,Summer,PSYC,230,21,5,4,3,3,2,3,3,1,0,0,0,1,0,"Lleras Buetti, Simona"
2019,Summer,REL,110,0,16,10,11,11,2,1,3,2,0,0,0,1,0,"Ebel, Jonathan H"
2019,Summer,SOCW,410,3,12,5,2,3,0,0,0,0,0,0,0,0,0,"Lee, Carol A"
2019,Summer,SOCW,410,7,8,4,3,1,0,0,0,0,0,0,0,1,0,"Sinha, Gaurav R"
2019,Summer,SPAN,130,3,4,3,3,2,1,2,3,1,0,1,1,0,0,"Regoyo, Aritz"
2019,Summer,THEA,101,36,6,6,5,3,1,1,1,1,1,1,1,11,0,"Morrissette, Jason W"
2018,Fall,AAS,100,5,13,16,15,5,3,1,1,1,1,0,0,0,0,"Thomas, Merin A"
2018,Fall,AAS,100,0,17,19,6,9,5,0,0,0,0,0,0,3,0,"Lee, Sang S"
2018,Fall,AAS,100,1,6,7,4,4,2,0,0,0,0,0,0,2,0,"Kang, Yoonjung"
2018,Fall,ACCY,201,70,108,72,79,71,57,44,38,34,14,6,7,12,6,"Fisher, Mitchell B"
2018,Fall,ACCY,202,17,47,10,43,56,13,13,12,8,0,2,0,4,0,"Shapland, Julia P"
2018,Fall,ACCY,301,3,8,11,13,5,4,4,1,1,0,0,0,1,0,"Sougiannis, Theodore"
2018,Fall,ACCY,301,1,15,8,15,1,4,2,3,2,0,1,0,0,0,"Li, Wei"
2018,Fall,ACCY,301,1,8,20,10,5,4,1,1,2,0,0,0,0,0,"Wang, Zhiguang"
2018,Fall,ACCY,301,3,20,7,5,7,3,5,4,0,1,0,0,0,0,"Anderson, Spencer B"
2018,Fall,ACCY,302,5,9,30,19,12,12,2,2,0,0,1,0,0,0,"Curtis, Susan M"
2018,Fall,ACCY,302,0,10,16,17,9,6,4,1,0,0,0,0,0,0,"Finnegan, Thomas"
2018,Fall,ACCY,302,6,6,23,12,11,2,2,0,0,0,0,0,0,0,"Wu, Martin G"
2018,Fall,ACCY,303,8,6,12,7,7,6,3,2,0,3,2,1,0,0,"Zhu, Wei"
2018,Fall,ACCY,303,1,6,7,13,3,0,0,1,1,0,1,0,0,0,"Li, Wei"
2018,Fall,ACCY,303,15,13,8,6,7,4,3,5,2,0,1,0,1,0,"Hamm, Brian K"
2018,Fall,ACCY,303,21,8,5,7,8,6,5,4,0,1,1,0,0,0,"Godsell, David"
2018,Fall,ACCY,304,1,27,22,21,14,7,7,1,1,1,2,0,1,0,"Koo, Seung Hyun"
2018,Fall,ACCY,304,5,18,22,19,20,9,2,4,1,1,1,0,0,0,"Hayne, Christie"
2018,Fall,ACCY,312,0,14,0,1,9,0,0,4,0,0,0,0,0,0,"Holder, Charles B"
2018,Fall,ACCY,312,13,10,8,8,9,3,4,2,0,1,1,0,1,0,"Alt, Amanda J"
2018,Fall,ACCY,312,19,24,15,10,17,24,4,2,0,0,1,0,1,1,"Penn, Michael W"
2018,Fall,ACCY,405,1,20,16,21,10,0,1,0,0,0,0,0,0,0,"Leiby, Justin"
2018,Fall,ACCY,410,4,19,14,10,12,6,3,0,2,0,1,0,0,0,"Kustanovich, Michael"
2018,Fall,ACCY,410,9,24,0,9,8,9,3,2,2,1,0,0,0,0,"Steward, Cynthia G"
2018,Fall,ACCY,415,0,20,11,40,13,15,0,3,0,0,1,0,2,0,"Lullo, Michael J"
2018,Fall,ACCY,451,0,32,0,0,19,0,0,10,0,0,0,0,0,0,"Holder, Charles B"
2018,Fall,ACCY,451,0,5,6,6,9,0,0,1,0,0,0,0,0,0,"Sternburg, Thomas"
2018,Fall,ACCY,451,9,16,11,5,17,4,4,0,0,0,0,0,0,0,"Hutchens, Matthew"
2018,Fall,ACCY,500,35,23,6,5,2,1,2,0,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2018,Fall,ACCY,500,4,8,0,7,11,2,0,10,4,0,0,0,0,0,"Zhang, Li"
2018,Fall,ACCY,500,190,191,179,93,84,2,0,0,0,0,0,0,8,1,"Urcan, Oktay"
2018,Fall,ACCY,501,7,9,4,6,5,0,1,1,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2018,Fall,ACCY,501,27,108,68,38,27,14,6,6,1,0,0,0,3,2,"Davis, Gregory L"
2018,Fall,ACCY,502,19,34,19,12,10,8,4,3,0,0,1,0,0,0,"Schwartz, Rachel"
2018,Fall,ACCY,504,4,10,6,6,10,3,2,1,3,0,1,0,0,0,"Peecher, Mark E"
2018,Fall,ACCY,504,0,34,20,0,49,4,0,1,1,0,0,0,0,0,"Pesch, Heather L"
2018,Fall,ACCY,505,0,38,0,0,24,0,0,6,0,0,0,0,0,0,"Holder, Daniel E"
2018,Fall,ACCY,505,33,74,36,17,20,9,1,0,0,0,0,0,0,2,"Hutchens, Matthew"
2018,Fall,ACCY,505,0,46,0,0,42,0,0,8,0,0,0,0,0,0,"Chatterton, Angel"
2018,Fall,ACCY,510,3,23,0,15,21,7,4,3,0,0,0,0,0,1,"Steward, Cynthia G"
2018,Fall,ACCY,510,7,17,12,18,12,0,0,0,0,0,0,0,0,0,"Hepp, John"
2018,Fall,ACCY,512,21,24,38,23,0,2,0,0,0,0,0,0,0,0,"Du, Fei"
2018,Fall,ACCY,515,0,21,14,20,21,15,0,0,0,0,0,0,0,0,"Zhou, Yuepin"
2018,Fall,ACCY,517,2,24,6,10,9,8,0,0,0,0,0,0,1,1,"Ibrahim, Adel Nematallah"
2018,Fall,ACCY,556,0,34,0,0,14,0,0,1,0,0,0,0,0,0,"Holder, Daniel E"
2018,Fall,ACE,100,8,22,19,27,19,12,9,12,7,1,2,2,4,0,"Gundersen, Lisa C"
2018,Fall,ACE,161,17,22,4,3,1,0,0,2,0,0,1,0,0,0,"Li, Liqing"
2018,Fall,ACE,161,0,72,0,1,9,0,0,2,0,1,0,1,1,0,"Parthum, Bryan M"
2018,Fall,ACE,161,1,13,0,4,6,0,0,0,0,0,0,0,0,0,"Naughton, Conner J"
2018,Fall,ACE,161,0,113,0,0,30,0,0,4,0,0,2,0,1,0,"Lo, Alexander C"
2018,Fall,ACE,161,7,22,13,2,2,0,0,1,1,0,0,1,1,0,"Fernandes Tomon, Andre"
2018,Fall,ACE,240,48,82,2,3,9,4,0,2,0,0,0,0,1,1,"Lemoine, Craig"
2018,Fall,ACE,341,3,6,15,1,1,0,0,0,0,0,0,0,0,0,"Finnegan, Ann B"
2018,Fall,ACE,427,0,27,22,16,14,7,7,2,1,0,0,0,4,0,"Mallory, Mindy L"
2018,Fall,ACE,444,6,39,12,12,12,6,2,1,1,0,0,0,0,0,"Schnitkey, Gary D"
2018,Fall,ACES,101,36,11,0,1,2,1,1,1,0,0,0,0,1,0,"Allen, Crystal A"
2018,Fall,ACES,101,11,6,1,2,2,0,0,0,0,0,0,0,0,0,"Burak, Steven"
2018,Fall,ACES,101,36,7,4,4,2,0,0,0,0,0,0,0,0,0,"Suski, Cory D"
2018,Fall,ACES,101,15,4,1,1,1,0,1,0,0,1,1,0,0,0,"Emmert, Jason L"
2018,Fall,ACES,101,19,9,1,1,1,0,0,0,0,0,0,0,0,0,"Breen, John"
2018,Fall,ACES,101,17,4,0,2,0,0,0,0,0,0,0,0,0,0,"Milashoski, William J"
2018,Fall,ACES,101,40,10,2,1,2,0,0,0,0,0,0,0,0,0,"Brooks, Jan D"
2018,Fall,ACES,179,1,8,5,9,11,3,1,0,1,0,3,0,4,0,"Reid, Debra A"
2018,Fall,ADV,150,95,167,18,12,37,1,3,6,3,1,6,0,4,1,"Hall, Steven R"
2018,Fall,ADV,283,1,102,40,12,4,1,0,0,0,0,0,0,0,0,"Raquel, Steve A"
2018,Fall,ADV,284,9,3,14,8,5,5,0,3,0,0,0,0,0,0,"Ahn, Regina"
2018,Fall,ADV,284,0,6,27,12,3,1,1,1,1,0,0,0,0,0,"Yao, Jiachen"
2018,Fall,ADV,460,23,15,26,17,14,5,6,3,0,1,1,0,0,0,"Ham, Chang Dae"
2018,Fall,ADV,483,2,9,10,9,14,6,1,1,0,0,1,0,0,0,"Taneja, Harsh"
2018,Fall,ADV,498,0,52,15,4,4,1,0,0,0,0,0,0,0,0,"Meron, Shachar"
2018,Fall,AE,100,2,25,9,8,1,4,1,0,0,0,0,1,0,0,"Mehta, Neil A"
2018,Fall,AE,100,2,13,5,3,0,1,1,0,0,0,0,0,1,0,"Degenhardt, David A"
2018,Fall,AE,199,9,36,13,6,3,1,1,2,0,1,1,0,4,0,"Laystrom-Woodar, Julia K"
2018,Fall,AE,199,12,18,0,2,3,0,1,0,0,0,0,0,0,0,"Woodard, Brian S"
2018,Fall,AE,442,1,7,9,11,12,12,3,2,2,0,1,0,0,1,"Lembeck, Michael F"
2018,Fall,AFRO,100,4,17,8,6,11,3,1,3,4,1,0,6,1,0,"Bailey, Ronald W"
2018,Fall,AIS,101,1,16,6,6,18,2,4,0,0,0,0,0,0,0,"Soto, Silvia"
2018,Fall,ANSC,110,2,39,6,5,14,0,3,2,0,0,4,0,0,1,"Allen, Crystal A"
2018,Fall,ANSC,207,13,9,1,1,2,1,0,1,0,0,0,0,0,0,"Myers, Kayla A"
2018,Fall,ANSC,207,51,55,10,20,9,3,1,2,2,0,2,0,1,0,"Lewis, Justin D"
2018,Fall,ANSC,207,24,60,12,9,13,5,1,8,2,0,1,0,4,2,"Elliott, Alexandria F"
2018,Fall,ANSC,398,0,18,0,3,0,0,0,0,0,0,0,0,0,0,"Fischer-Brown, Amy E"
2018,Fall,ANTH,103,7,24,35,15,32,23,6,11,4,2,7,3,2,0,"Sohn, Agnes"
2018,Fall,ANTH,143,558,176,86,34,88,40,24,40,18,8,4,8,48,4,"Jelinek, Petra"
2018,Fall,ARCH,451,5,3,3,3,3,3,3,3,3,0,0,0,0,0,"Sanabra Loewe, Marc"
2018,Fall,ARTD,225,0,8,11,3,2,1,0,0,0,0,0,0,0,0,"Raheel, Salman"
2018,Fall,ARTH,110,1,4,7,3,2,3,0,0,1,0,0,0,0,0,"Gotway, Kirstin M"
2018,Fall,ASRM,199,1,6,7,6,2,2,2,1,1,0,0,0,0,0,"Buysse, Klara T"
2018,Fall,ASRM,199,0,62,0,0,6,0,0,3,0,0,1,0,1,0,"Proksa, Corrie L"
2018,Fall,ASTR,100,118,140,73,72,57,30,24,18,12,7,8,7,29,5,"Winans, Amanda"
2018,Fall,BADM,210,1,45,14,8,3,3,3,2,0,0,1,0,0,0,"Larson, Eric"
2018,Fall,BADM,300,17,45,24,11,16,8,6,2,1,2,2,3,1,0,"Fricke, Michael R"
2018,Fall,BADM,300,22,56,38,39,35,24,23,13,4,4,0,0,1,0,"Wright, Margaret"
2018,Fall,BADM,311,3,11,19,21,25,5,4,2,0,0,0,0,1,0,"Dahl, James G"
2018,Fall,BADM,320,195,288,79,37,29,3,3,3,0,0,0,0,0,1,"Wolters, Mark E"
2018,Fall,BADM,322,0,9,15,12,1,0,0,0,0,0,0,0,0,0,"Fang, Er"
2018,Fall,BADM,322,3,55,1,2,0,1,1,0,0,0,0,0,1,0,"Kim, Myoung Hee"
2018,Fall,BADM,325,9,23,30,6,1,1,0,0,0,0,0,0,0,0,"Koo, Minkyung"
2018,Fall,BADM,350,8,14,26,15,24,15,0,5,1,0,4,0,1,0,"Parthasarathy, Rangarajan"
2018,Fall,BADM,350,0,25,23,27,8,3,4,2,5,0,1,0,0,1,"Sachdev, Vishal"
2018,Fall,BADM,350,0,49,10,3,1,1,0,0,0,0,0,0,0,0,"Nelson, Matthew L"
2018,Fall,BADM,353,6,38,27,19,10,0,0,0,0,0,0,0,0,0,"Haran, Vidya"
2018,Fall,BADM,374,4,7,5,6,1,1,0,0,0,0,0,0,0,0,"Venkateswaran, Venkatasub"
2018,Fall,BADM,374,2,33,15,11,4,13,0,1,0,0,0,0,0,0,"Ye, Han"
2018,Fall,BADM,374,22,14,5,1,0,0,0,0,1,0,0,0,0,0,"Liang, Hongyan"
2018,Fall,BADM,375,10,28,20,19,7,6,2,0,0,0,0,0,0,0,"Boregowda, Satish"
2018,Fall,BADM,375,0,30,22,10,12,9,2,3,1,2,0,0,0,0,"Xu, Yuqian"
2018,Fall,BADM,380,0,67,26,2,5,2,0,1,0,0,0,0,0,1,"Martinez, Candace A"
2018,Fall,BADM,449,3,52,13,6,2,0,0,0,0,0,0,0,0,0,"Anderson, Phillip C"
2018,Fall,BADM,449,7,26,4,1,1,0,1,0,0,0,0,0,0,0,"Herbolzheimer, Eva Christ"
2018,Fall,BADM,449,1,52,17,6,3,0,0,0,0,0,0,0,0,0,"Schijven, Mario P"
2018,Fall,BADM,449,3,52,13,23,16,4,5,0,1,0,1,0,0,0,"Kim, June-Young"
2018,Fall,BADM,449,4,23,5,3,4,0,1,0,0,0,0,0,0,0,"Seo, Eunkwang"
2018,Fall,BADM,449,0,12,10,11,6,0,0,0,0,0,0,0,0,0,"Mahoney, Joseph T"
2018,Fall,BADM,508,4,26,9,7,17,6,2,2,2,0,0,0,0,0,"Kraatz, Matthew S"
2018,Fall,BADM,520,13,604,113,44,29,10,7,5,3,1,1,0,9,3,"Noel, Hayden N"
2018,Fall,BADM,525,4,23,19,11,7,1,1,1,0,0,0,0,0,0,"Mehta, Ravi P"
2018,Fall,BADM,567,1,47,7,6,1,0,0,0,0,0,0,0,0,0,"Anand, Gopesh J"
2018,Fall,BADM,567,0,29,25,20,0,0,0,0,0,0,0,0,0,0,"Chhajed, Dilip"
2018,Fall,BADM,567,13,183,153,66,84,52,24,4,5,2,1,0,23,6,"Palekar, Udatta S"
2018,Fall,BADM,567,0,11,10,10,8,2,1,0,0,0,0,0,0,0,"Xu, Yuqian"
2018,Fall,BADM,572,0,12,14,22,6,6,2,0,0,0,0,0,0,0,"Seshadri, Sridhar"
2018,Fall,BADM,590,98,291,137,36,22,5,1,4,1,0,1,1,13,1,"Parkinson, Thomas E"
2018,Fall,BADM,590,0,15,6,2,1,0,0,0,0,0,0,0,0,0,"Kim, June-Young"
2018,Fall,BADM,590,0,334,37,21,8,3,0,0,0,0,0,0,4,0,"Yao, Mike Z"
2018,Fall,BADM,590,189,214,29,8,9,3,2,0,0,1,0,1,2,1,"Rindfleisch, Aric P"
2018,Fall,BADM,590,96,33,4,1,1,1,0,0,0,0,0,0,8,0,"Hartman, Kevin E"
2018,Fall,BTW,250,0,21,17,3,3,0,1,3,0,0,0,0,0,0,"Grohens, Joseph"
2018,Fall,BTW,250,0,6,7,7,3,0,0,0,0,0,0,0,0,0,"Ricketts, Scott"
2018,Fall,BTW,250,0,9,21,5,4,0,0,1,1,0,0,0,2,0,"Hudek, Barry A"
2018,Fall,BTW,250,1,1,5,11,1,0,1,2,0,0,0,0,0,0,"Emmert, Kay"
2018,Fall,BTW,250,0,21,25,10,11,1,0,0,0,0,0,0,0,1,"Kelly, Daniel"
2018,Fall,BTW,250,6,20,17,2,1,0,0,0,0,0,0,0,0,1,"Hapke, Gail L"
2018,Fall,BTW,250,0,18,4,2,0,0,0,0,0,0,0,0,0,0,"McVicker, Zachariah P"
2018,Fall,BTW,250,0,7,0,0,12,0,0,2,0,0,0,0,0,0,"Hechler, William D"
2018,Fall,BTW,250,0,24,31,8,2,3,2,0,1,0,1,0,0,0,"McGuire, Lee"
2018,Fall,BTW,250,0,35,5,5,1,0,0,1,0,0,0,0,0,0,"Claborn, John P"
2018,Fall,BTW,250,0,2,25,8,4,2,1,1,1,0,1,0,2,0,"McLeer, Heather A"
2018,Fall,BTW,250,0,10,19,8,3,2,0,0,0,0,1,0,1,0,"Moss, Andrew P"
2018,Fall,BTW,250,0,22,15,3,2,0,0,0,1,0,0,0,1,0,"O'Dell, Benjamin D"
2018,Fall,BTW,261,0,30,6,7,6,1,0,0,0,0,0,0,0,0,"Grohens, Joseph"
2018,Fall,BTW,261,2,10,2,0,5,1,0,1,0,0,1,0,0,0,"Hechler, William D"
2018,Fall,BUS,101,1,511,139,51,33,13,10,6,0,1,2,1,0,0,"DeBrock, Lawrence M"
2018,Fall,CEE,421,6,46,30,26,16,5,5,2,1,1,0,1,0,0,"El-Rayes, Khaled A"
2018,Fall,CEE,498,1,26,18,9,2,2,0,0,0,0,0,0,0,0,"Ignacio, Ernest-John D"
2018,Fall,CEE,498,0,14,0,6,7,0,0,0,0,0,0,0,0,0,"Lombardo, Franklin T"
2018,Fall,CHBE,494,1,5,3,0,7,3,0,3,1,0,0,0,0,0,"Mitrovski, Svetlana"
2018,Fall,CHEM,101,5,56,31,40,56,34,39,33,23,9,9,7,18,2,"McCarren, Elise M"
2018,Fall,CHEM,101,2,42,30,60,100,66,60,82,53,31,21,23,22,2,"Andino Martinez, Jose G"
2018,Fall,CHEM,102,12,57,25,46,67,73,59,69,41,14,12,7,19,5,"Hummel, Thomas J"
2018,Fall,CHEM,102,2,49,70,90,103,77,86,74,86,34,51,20,21,9,"Huang, Tina H"
2018,Fall,CHEM,102,10,33,32,75,60,36,92,47,45,19,13,8,27,9,"Gunasekera, Mutha Merenna"
2018,Fall,CHEM,104,19,26,19,43,59,43,48,67,53,13,7,1,14,5,"Ray, Christian R"
2018,Fall,CHEM,199,90,283,5,6,8,6,0,3,0,0,1,0,1,1,"McCarren, Elise M"
2018,Fall,CHEM,203,0,4,12,18,61,39,17,18,7,3,3,2,11,0,"Andino Martinez, Jose G"
2018,Fall,CHEM,232,1,2,1,0,4,2,2,6,0,0,6,0,1,0,"Kell, David A"
2018,Fall,CHEM,232,6,17,5,14,26,7,4,7,1,1,2,1,2,1,"Zavala, Jose"
2018,Fall,CHEM,232,8,71,31,27,121,38,29,82,11,25,26,0,8,6,"Axelson, Jordan C"
2018,Fall,CHEM,233,38,130,107,86,58,35,11,9,4,1,1,0,7,3,"Kell, David A"
2018,Fall,CHEM,237,4,13,21,27,51,25,9,7,4,2,0,0,1,1,"White, M C"
2018,Fall,CHEM,440,2,34,23,12,10,13,6,4,1,0,0,0,1,0,"Pogorelov, Taras V"
2018,Fall,CHEM,442,10,29,20,8,7,4,0,1,0,0,0,0,0,0,"Hirata, So"
2018,Fall,CHLH,100,106,198,124,78,74,31,23,14,5,11,10,3,17,2,"Trask, Jeffrey T"
2018,Fall,CHLH,101,20,33,35,21,19,13,9,7,4,4,0,1,0,1,"Yarnot, Rebecca K"
2018,Fall,CHLH,206,24,517,160,73,102,35,21,30,11,9,10,5,21,3,"Rinaldi-Miles, Anna I"
2018,Fall,CHLH,243,0,34,0,0,12,0,0,7,0,0,1,0,0,0,"Santens, Ryan L"
2018,Fall,CHLH,243,604,288,107,61,46,24,13,13,8,13,3,2,20,0,"Kersh, Renique"
2018,Fall,CHLH,260,27,45,4,5,7,1,2,4,0,0,0,0,3,1,"Simmons, Rachel L"
2018,Fall,CHLH,260,60,67,12,9,16,3,2,2,3,0,0,0,0,0,"Notaro, Stephen J"
2018,Fall,CHLH,304,12,20,6,1,4,1,1,0,0,0,0,0,1,0,"DiFilippo, Kristen N"
2018,Fall,CHLH,456,6,37,7,2,0,0,0,0,0,0,0,0,1,0,"Notaro, Stephen J"
2018,Fall,CI,405,0,32,20,7,5,3,2,0,0,0,0,0,0,0,"Dean, Sheila R"
2018,Fall,CI,406,0,18,3,1,0,0,0,0,2,0,0,0,0,0,"Lyons, Mary E"
2018,Fall,CI,406,1,19,1,3,0,0,0,0,1,0,0,0,0,0,"McMurry, Sunny O"
2018,Fall,CI,406,0,6,14,0,1,1,2,0,0,0,0,0,0,0,"MacGregor, Nancy A"
2018,Fall,CI,415,8,16,0,0,0,0,0,0,1,0,0,0,1,0,"Elassi, Amal M"
2018,Fall,CI,430,1,17,12,7,9,1,2,0,0,0,0,0,0,0,"Poetzel, Adam R"
2018,Fall,CI,450,1,17,3,3,0,0,0,0,0,0,0,0,0,0,"Krist, Christina"
2018,Fall,CI,452,9,8,1,5,0,1,0,0,0,0,0,0,0,0,"Cordoba, Tanya E"
2018,Fall,CI,452,0,18,5,1,1,0,0,0,0,0,0,0,0,0,"Hug, Barbara"
2018,Fall,CI,452,0,22,1,1,0,0,0,0,0,0,0,0,0,0,"Lewis, Alisha L"
2018,Fall,CI,476,1,19,2,0,2,0,1,0,0,0,0,0,0,0,"McCarthey, Sarah J"
2018,Fall,CLCV,115,5,29,3,2,15,0,0,3,0,0,0,0,0,0,"Scheele, Genevieve V"
2018,Fall,CLCV,115,1,16,3,3,7,0,0,1,0,0,0,0,1,0,"Karnes, Victoria A"
2018,Fall,CLCV,115,6,15,3,2,2,0,0,0,1,1,0,0,1,0,"Pires, Alejandra-Isabe O"
2018,Fall,CLCV,115,1,19,1,0,3,1,2,3,0,0,0,0,1,0,"Sacilowski, Diana J"
2018,Fall,CLCV,115,13,17,0,5,17,1,0,3,0,0,0,1,3,0,"Cornell, Megan E"
2018,Fall,CLCV,115,0,25,2,7,13,1,0,5,1,0,1,1,1,0,"Merkley, Kyle G"
2018,Fall,CLCV,115,6,36,4,1,10,1,0,5,0,0,1,0,0,0,"Weed, Ashley K"
2018,Fall,CLCV,115,7,29,2,1,13,2,0,4,0,0,0,1,1,0,"McQueen, Kelli A"
2018,Fall,CLCV,115,0,13,1,1,7,1,0,1,0,1,2,0,0,0,"Kozak, Adam A"
2018,Fall,CMN,212,4,22,10,7,5,4,2,1,1,1,0,0,0,0,"Bryan, Ann L"
2018,Fall,CMN,213,11,14,11,6,10,3,1,1,1,0,0,1,0,1,"Ruge-Jones, Luisa"
2018,Fall,CMN,220,0,19,8,9,3,2,0,0,1,0,0,0,2,0,"Reckard, Bryan R"
2018,Fall,CMN,232,3,6,4,4,4,2,5,1,0,0,0,0,0,0,"Roman Alicea, Natalia"
2018,Fall,CMN,260,4,12,11,4,13,6,3,2,1,1,0,0,0,0,"Williamson, Lillie D"
2018,Fall,CMN,260,5,8,8,5,10,11,2,4,1,0,0,0,0,0,"Al-Ghaithi, Salah H"
2018,Fall,CMN,275,3,12,7,8,2,5,5,4,0,4,0,0,2,0,"McChesney, Robert W"
2018,Fall,CMN,340,3,9,4,2,4,3,0,3,0,0,0,0,0,0,"Weickum, Nikki R"
2018,Fall,CMN,377,1,24,6,7,10,7,4,3,2,2,2,1,0,0,"Stole, Inger L"
2018,Fall,CMN,396,7,12,20,12,11,12,11,1,3,3,2,0,1,0,"Wright-Dixon, Trina J"
2018,Fall,CMN,435,12,16,12,6,5,1,0,2,2,0,0,0,0,0,"Ramey, Mary E"
2018,Fall,CS,173,11,42,29,17,24,20,12,6,6,3,5,1,5,1,"Evans, Graham C"
2018,Fall,CS,173,45,38,13,20,22,13,11,7,4,4,4,4,4,0,"Warnow, Tandy"
2018,Fall,CS,199,14,33,1,2,1,1,0,0,0,0,0,0,1,0,"Silva, Mariana T"
2018,Fall,CS,225,25,408,41,45,44,22,28,22,15,6,9,11,21,9,"Fagen-Ulmschnei, Wade A"
2018,Fall,CS,233,13,166,11,12,57,8,4,43,3,1,18,0,13,4,"Herman, Geoffrey L"
2018,Fall,CS,241,45,39,26,21,18,10,25,17,10,10,6,0,40,2,"Angrave, Lawrence C"
2018,Fall,CS,242,27,49,51,31,15,10,7,6,3,3,0,2,9,0,"Woodley, Michael J"
2018,Fall,CS,357,39,100,44,35,50,30,19,27,20,7,8,4,9,0,"Silva, Mariana T"
2018,Fall,CS,374,5,16,9,8,4,11,5,10,8,2,0,2,6,1,"Borisov, Nikita"
2018,Fall,CS,421,5,69,4,4,3,5,5,3,2,1,1,3,0,1,"Parthasarathy, Madhusudan"
2018,Fall,CS,425,21,31,107,75,31,7,0,2,1,0,2,0,8,2,"Gupta, Indranil"
2018,Fall,CS,461,2,2,1,2,10,2,2,3,1,0,0,0,0,0,"Bailey, Michael D"
2018,Fall,CS,498,6,22,1,0,1,0,0,1,0,0,0,0,0,0,"Gunter, Carl"
2018,Fall,CS,498,49,10,2,1,12,0,0,10,2,0,3,1,0,0,"Lazebnik, Svetlana"
2018,Fall,CS,498,0,49,36,21,38,11,2,8,0,0,2,0,1,0,"Shaffer, Eric G"
2018,Fall,CS,498,1,53,31,4,4,0,0,0,0,0,0,0,3,2,"Walker, Trevor A"
2018,Fall,CS,498,4,6,3,3,8,2,0,1,0,0,1,0,0,0,"Kirlik, Alex"
2018,Fall,CS,498,7,17,24,7,4,1,0,0,0,0,1,0,0,0,"Sundaram, Hari"
2018,Fall,CS,498,8,8,3,3,2,0,0,2,0,0,0,0,4,0,"Godfrey, Philip B"
2018,Fall,CS,498,3,73,23,5,7,0,0,3,0,0,0,0,5,0,"Forsyth, David A"
2018,Fall,CS,598,3,13,9,5,1,0,0,0,0,0,0,0,0,0,"Xu, Tianyin"
2018,Fall,CS,598,1,20,7,1,0,0,0,0,0,0,0,0,0,1,"Li, Bo"
2018,Fall,CS,598,14,30,6,16,9,3,1,1,3,0,0,0,2,2,"Park, Trevor H"
2018,Fall,CS,598,12,11,4,1,0,0,0,0,0,0,0,0,0,0,"Karahalios, Kyratso G"
2018,Fall,CS,598,1,90,13,7,3,0,0,2,0,0,0,0,2,0,"Liang, Feng"
2018,Fall,CS,598,12,17,7,1,2,0,0,0,0,0,0,0,0,0,"Sirignano, Justin A"
2018,Fall,CS,598,0,19,1,1,0,0,0,0,0,0,0,0,0,0,"Kloeckner, Andreas P"
2018,Fall,CS,598,4,8,5,1,0,0,1,2,0,0,0,0,0,0,"Jiang, Nan"
2018,Fall,CS,598,0,24,11,2,1,0,0,0,0,0,0,0,0,1,"Kumar, Ranjitha"
2018,Fall,CS,598,1,15,6,0,3,0,0,0,0,0,0,0,0,0,"Peng, Jian"
2018,Fall,CS,598,14,43,11,0,13,2,0,0,1,0,0,0,0,0,"Smaragdis, Paris"
2018,Fall,CW,100,0,17,3,1,1,1,1,0,0,0,0,0,0,0,"Hurley, Michael J"
2018,Fall,DANC,100,6,12,4,1,1,0,1,0,0,0,0,0,2,0,"Allison, Evvie D"
2018,Fall,DANC,100,36,46,7,2,0,1,1,1,1,1,0,0,1,0,"Beck, Kenneth D"
2018,Fall,DANC,100,27,37,18,6,1,1,1,0,0,2,0,0,0,0,"Chiaramonte, Laura J"
2018,Fall,EALC,250,2,3,3,8,6,7,3,2,0,2,1,0,6,0,"Nagata, Tsutomu"
2018,Fall,ECE,110,15,44,9,15,11,3,1,1,1,2,3,1,2,0,"Bayram, Can"
2018,Fall,ECE,110,5,23,15,5,3,5,0,1,0,2,1,0,1,0,"Choi, Hyungsoo"
2018,Fall,ECE,110,20,32,9,14,13,4,4,2,2,0,1,3,3,0,"Ravaioli, Umberto"
2018,Fall,ECE,120,6,15,16,17,12,9,7,4,2,1,2,3,3,2,"Lahiri, Pratik"
2018,Fall,ECE,120,4,12,18,12,21,13,4,5,4,5,2,0,5,0,"Choi, Dong San"
2018,Fall,ECE,199,39,6,2,2,1,1,0,0,0,0,0,0,0,1,"Varodayan, David"
2018,Fall,ECE,206,4,39,13,2,0,0,0,0,0,0,0,0,0,0,"Radhakrishnan, Chandrasek"
2018,Fall,ECE,210,6,5,8,3,14,11,16,10,0,4,2,1,10,1,"Chen, Xu"
2018,Fall,ECE,210,5,1,1,9,17,5,9,11,2,2,1,0,8,0,"Gong, Songbin"
2018,Fall,ECE,220,4,10,13,9,14,1,0,9,2,0,0,1,2,0,"Mitra, Sayan"
